,ACAd,ACA,ACB,TC,AId,GU,AIp,MD,DpM,AUD,BLAp,BLAa,BMA,CEA,CLA,COA,CP,PRN,Hipp,ECT,ENTl,ENT,EPd,EP,MRN,LD,CT,LS,MM,MOp,MOs,M,PT,MS,OB,ORBm,ORBvl,OT,PAG,PS,PERI,PIR,PL,VL,RSP,VM,SC,SI,SN,SSs,SSp,SSp-b,SUM,TEa,VISC,VIS,VISp,VTA
PS,0,0,0,0,0,0,0.000189738,0.001019752,0,0,0,0,0,0,3.17508E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000632393,0,0.000316196,0,0,0.000190831,0,1.59188E-05,0,0,0,0,0,0,0.000573996,0,0.001496679,0,0,0,0,0,0,0,0,0,0,1.20437E-05,0
PERI,0,0,0,0.016275232,0,0,0,0.00952692,0,0,0,0,0.001187611,0.005462337,0,0,0,0,0,0,0,0,0,0,0,0,0.002003462,0.001486414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003986212,0,0.004090044,0,0.000392525,0,0,0.001227209,0.002030065,0.000507751,0,0,0,0,0,0,0.006737613
PIR,0,0,0.030440456,3.00837E-05,0.083930862,0.066499971,0.047367274,0.04632204,0,0.000879961,0,0,0.000615071,1.46936E-05,0.223746076,0.000203134,0.519781695,0.001262522,0.00176963,0.003995963,0.056768972,0.029052485,0.08917375,0.044586875,0,0,3.18568E-05,0.000364714,0,0,0,0,0,0,0.054108145,0,0.037121074,0,0.114256856,0.000629631,0.014674123,0.010380696,0.220261642,0.001763131,0,0,0,0,0.002025289,0,0.001532463,0,0.000462542,0.012977986,0.006867649,0,0,0.001980608
PL,0,0,0,0.029919655,0,0,0,0,0,0.000493417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003069641,0,0,0,0.037903947,0,0.000176865,0.001319779,0,0.001208536,0,0,0,0
VL,0,0.004478543,0,0.067496604,0.004186518,0.001395506,0.00130966,0.0368238,1.089601743,0.000805773,0.000726562,0.000363281,0.002387502,0.003608879,0,0.002119013,0,0.929409156,0,0,0,0,0,0.000193207,0.962196262,0,0.013458621,0.016464485,0,0,0,0,0.00988197,0,0.000752683,0,0,0,1.888844937,0.00063125,0,0.005100206,0,0.003951158,0.005250863,0.00407399,0.831112907,0.045399708,0.026221734,0.007241327,0.002546621,0.003757642,0,0,0.005387842,0.000195378,0,0.107476346
RSP,0.064992696,0.067619519,0,0.001432025,0.000284441,0.000283443,0.000620152,0.003671798,0,0.001531736,0,0,0.000228352,0.000154696,0.000491922,0.000550927,0,0.03989876,0.000409103,0.015707094,0.011518738,0.008765325,0,0,0.005161603,0,0.000964393,0,0.000219919,0.025922081,0.074797536,0.050359809,0.000302204,0,0.001143616,3.99677E-05,0.000528864,0,0.070769982,0.014147251,0.002657785,0.001014179,0.000299448,0.003705802,0.251697154,8.62682E-05,0.064900369,0,0.00031161,0.00031993,0.000223328,0.001518539,0.000775599,0.017997336,0,0.004565401,0.004149382,0.000973662
VM,0,0,0,0,0,0,0,0.030128171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28785E-05,0,0.091130268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001893654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,0,0,0,0.001461106,0,0.000290107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000393111,0,0.002998158,0,0,0,0,0,0,0,0,0,0,0,0.126285217,0,0,0,0,0,0,0,0,0,5.87732E-05,0,0,0,0,0,0,0,0,0
SI,0.000504857,0.00155858,2.71874E-06,0.000104907,0.000972826,0.000554179,6.87944E-05,2.17264E-05,0.001390191,0.000165743,1.2575E-06,7.56294E-07,5.99491E-05,0,3.63929E-05,5.79696E-05,0.001813477,0.000145109,0.000635283,0.000142426,0.000225285,0.000159294,1.85231E-05,9.26154E-06,0.001360511,3.92209E-05,5.02595E-06,0.000152493,5.36575E-05,0.000750638,0.000920992,0.000835815,0,6.20862E-06,0.000650767,3.95225E-05,0.000178892,0.000699784,0,0.00029224,0.000105532,0.000754479,0.00030532,0,0.001308539,0.000198354,0,6.69141E-05,0.000204289,0.001368386,0.000544343,0.000562825,2.76655E-05,7.56082E-05,0.000717446,0.00016217,0.000287092,0.000178125
SN,0.006622235,0.003311117,0.00345085,0,0,0.001666276,0.016657246,0,0,0.002135624,0,0,0,0,0,0,0,0,0,0.013703132,0.024337397,0.014636611,0,0.001989318,0,0,3.79387E-05,0.006732241,0,0,0,0,0,0,0.008441076,0,0,0.054050752,0,0,0.017552682,0.109314147,0,0,0,0,0,0,0,0,0,0.003285776,0,0.019224281,0.00012015,0,0,0
SSs,0,0.000538045,0.001638911,2.70792E-05,0.003442784,0.017897205,0.014846793,0.000129104,0.000343024,0.006719446,0.000249339,0.00017352,3.60941E-05,0.001512154,0.013045648,5.24794E-05,0.446540886,0.001256304,0.001388187,0.01867876,0.003744483,0.00189348,0.002967047,0.001527088,0.000350373,6.17694E-06,7.97238E-05,0.005761608,0,0.226925626,0.065177326,0.146051476,6.51472E-07,0,0.000172186,0,0,0,0,1.66686E-05,0.016429378,0.00242834,0,0.000285999,0,0.001526638,4.17785E-05,0.000624404,9.61535E-06,0.345058776,0.248186326,0.053111251,0,0.017584586,0.109260601,3.92484E-06,1.14895E-05,3.87959E-05
SSp,0.011617321,0.009268185,0.006616777,0.000138316,0.000863374,0.001482245,0.006224786,0.000293873,0.000620117,0.044737406,0,5.54651E-05,2.54905E-05,0,0.004141912,0,0.038399647,0.004515677,0.003091724,0.025108124,0.025695924,0.012936491,0.00187455,0.000937275,0.001217794,1.45087E-05,1.26853E-05,9.63146E-05,2.02891E-05,0.009541123,0.016664869,0.013102996,2.38845E-05,0.000161621,0.000596134,0.000540045,0.005449816,0,0.026444675,0.00025908,0.022695025,0.014660331,0.001939492,0.003486345,0.00335443,5.41995E-05,0.002643277,0,4.5311E-05,0.003961367,0.000990342,0.181444336,4.60063E-06,0.038981154,0,0.007635303,0.002770444,0.00014124
SSp-b,0,0,0,0.007729771,0,0.000165538,0,0.036818477,0.487574568,0,0,0,0.000769391,0,0,0.002579916,0,0.054975402,0,0,0.004289802,0.002144901,0,0,0.431140422,0.00425981,0.009237263,0,0,0,0,0,0.023464772,0,0,0,0,0,1.065474142,0.000305957,0,0.001436345,0,0.105706395,0,0.028486934,0.660520243,0,0.027404251,0.002401863,0.000689278,0.000177743,0.002545591,0,0.000751726,0,0,0.172590158
SUM,0,0,0,0,0,0,0.001512156,0,0,0,0.00171904,0.00085952,0.000155949,0,0,0,0,0,0,0,0,0.000498886,0,8.55268E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007488863,0,0,0,0,0,0,0,0,0,0.000595744,0.000595744,0
TEa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6968E-05,0,1.67937E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.68601E-05,0,0,0,0,0,0,5.34333E-05,0,0.000114761,0.000188604,7.29482E-05,0.000111724,0,0,0,0,0,0
VISC,0.016685417,0.016706689,0,0.000211599,0.000508198,0.000566716,0.000276,3.93215E-05,0,0.019107461,0,0,5.4546E-05,0,0.000118832,7.55815E-06,0.131850649,0,0,0,0,0,0,0,0.000429511,0,3.5814E-05,0.000158179,0,0,0.002202552,0.001101276,0,0,0,0.000139506,0.000183615,0.001378654,0,0,0,0.001571375,0,0.000136949,0.007945366,3.78014E-05,0,0,0.000203857,0,0.000285329,3.14537E-05,0,0,0.000445626,0.060769204,0.016950721,0.00015272
VIS,0.005240417,0.00580787,0.000552006,0.004034316,0,0,0,0.001835589,0,0,0,0,3.7763E-05,0,0,0,0.007778207,0.03418486,0.000605145,0,0.013075874,0.009638936,0,0,0.003716773,3.87865E-05,0.000630174,0.001032877,0.000467494,0,0.001979597,0.000989799,0.000237362,0.000101924,0.000432616,1.70185E-05,0.000177846,0.000418397,0.04104741,0.005696032,0.000237973,0,8.07906E-05,0.001358542,0.020407318,2.45871E-06,0.063691317,0.001460798,0.000631791,0,0,2.0703E-05,0.000108494,0.014993256,0,0.080946693,0.143403825,7.11252E-06
VISp,0,9.88809E-05,0,9.98878E-05,0,0,0,0,0,0,0,0,3.65967E-05,0,0,0,0,0,0,0,0.038700477,0.028360993,0,0,0,0.00011636,6.8156E-05,0.000475229,0,0,0,0,1.73439E-05,0,0,0,0,0,0,0.015715715,0,0,0,0,0.047338532,0,0.020195218,0,0,0,0,0,0,0.044979769,0,0.153052764,0.367447555,2.13376E-05
VTA,0,0,0,0.000398982,0.000716313,0.00066423,0.00068437,0.001354802,0,0.000564608,0,2.6719E-05,0.000569394,0.000274153,1.17958E-05,0.001456539,0.001068939,0.00132465,0.000803176,0.001212693,0.001959573,0.001808188,0,0,0,0.000202988,0.000104882,1.31646E-05,0.000985328,0.000293195,0.001531268,0.000912232,0,0,0.000487109,0,4.05707E-05,0.002912015,0,0.000444576,0.000587847,0.002616125,4.55913E-06,0,0.001048555,0.000658108,0.000351881,0,0,0.002955987,0.001288051,0.001253019,0.00024836,0.000570157,0.000600803,0.000873103,0.000957923,0
